"","NAVIRES","NO IMMATRICULATION","TJB_C","ARMEMENTS","TYPE_LICENCE","OPTION","ZONE_DE_PECHE"
"61","JEANNE HELENE","DAK 992",167,"SENECRUST","LPDC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"62","KANBAL II","DAK 1096",85.34,"SOPERKA","LPOP","Chalutier Congélateur Poissonnier","ABCDEFGH"
"63","KANBAL 111","DAK 1115",248.8,"SOPERKA","LPOP","Chalutier Congélateur Crevettier Profond","ABCDEFGH"
"64","KENTIA","DAK 1108",229,"SOPASEN","LFDC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"65","KINEE","DAK 1384",159,"SUNUMAR FISHING","LPDC","Chalutier Congélateur Crevettier","38875.0"
"66","LAGHEME 1","DAK 1130",247.6,"SOPERKA","LPOC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"67","LE CAYOR","DAK 1372",292,"SANGOMAR FISHING SARL","LPOP","Chalutier Congélateur Poissonnier","ABCDEFGH"
"68","LEBOU GUI","DAK 1371",292,"SANGOMAR FISHING SARL","LPDP","Chalutier Congélateur Poissonnier","ABCDEFGH"
"69","LOUIS SAUGER","DAK 740",288,"AL MAKARU AL ASMA","LPDC","Chalutier Glacier Poissonnier Et Céphalopodier","12.0"
"70","LUCKY 927","DAK 1318",292,"ENTREPRISE BAYE NIASSE","LPDP","Chalutier Congélateur Poissonnier","ABCDEFGH"
"71","LUCKY 928","DAK 1319",292,"ENTREPRISE BAYE NIASSE","LPOP","Chalutier Congélateur Poissonnier","ABCDEFGH"
"72","MAME FARBA","DAK 1366",290,"SOCOMI","LPOP","Chalutier Congélateur Poissonnier","ABCDEFGH"
"73","MARIKA","DAK 741",153,"ARMT Y. CARTON","LPOC","Chalutier Congélateur Crevettier","38875.0"
"74","MASEDUD 1","DAK 1280",179,"AL MAKARII AL ASMA","LPOC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"75","MASEOUD 2","DAK 1281",179,"AL MAKARU AL ASMA","LPOC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"76","MASEDUD 3","DAK 1282",179,"AL MAKARU AL ASMA","LPDC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"77","MASEDUD 4","DAK 1283",179,"AL MAKARU AL ASMA","LPDC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"78","MAYLEE","DAK 1262",69,"PELIKANO SA","LPPC","Senneur (Pêche Fraiche)","37687.0"
"79","MAYSSA KHADY","DAK 1367",290,"SOCOMI","LPOP","Chalutier Congélateur Poissonnier","ABCDEFGH"
"80","MBAGNE FABOUR 2","DAK 1362",290,"SOCOMI","LPDP","Chalutier Congélateur Poissonnier","ABCDEFGH"
"81","MOHAMED","DAK 1306",195,"HISPASEN SA","LPOP","Chalutier Congélateur Crevettier Profond","ABCDEFGH"
"82","NATA","DAK 1137",136.8,"SENEVISA SA","LPDC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"83","NIAM NIOKO","DAK 698",232,"SOPASEN","LPOC","Chalutier Congélateur Crevettier","38875.0"
"84","NIASSENE 817","DAX 1343",294.3,"ENTREPRISE BAYE NIASSE","LPDP","Chalutier Congélateur Poissonnier","ABCDEFGH"
